Chi(proportion),T_avg UE(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy,Proportion UE dropped,Proportion of UE active,Eff chi mean BSs,Eff chi active UEs,T_Avg Active UE(kBps)
0.8100000000000006,356.4966024688527,2.5667755377757398E-5,0.17651304319631975,0.0,0.8234869568036798,6.212518015358926,0.7592388888888877,0.24076111111111104,0.7299632432432445,0.19501650000000012,1481.055333375501
0.8150000000000006,357.00609918721676,2.5704439141479633E-5,0.17600747660015578,0.0,0.8239925233998427,6.210646220321832,0.7592361111111099,0.24076388888888822,0.7341387837837873,0.19622256944444477,1483.0053186499617
0.8200000000000006,359.3580063262553,2.5873776455490345E-5,0.1770212065399294,0.0,0.8229787934600701,6.215483515833029,0.7585861111111101,0.24141388888888857,0.73925881081081,0.19795938888889272,1488.748614798246
0.8250000000000006,358.4541696991398,2.580870021833804E-5,0.17681045703318352,0.0,0.8231895429668168,6.2150993874058855,0.7586555555555557,0.24134444444444422,0.7436104054054066,0.1991091666666665,1485.2705123471019
0.8300000000000006,360.2940128657908,2.5941168926336943E-5,0.1773126604759076,0.0,0.8226873395240918,6.218101330628892,0.7583249999999994,0.24167499999999972,0.7486241081080993,0.2005902500000008,1490.9420436534876
0.8350000000000006,358.3454901759912,2.580087529267138E-5,0.17737714396527876,0.0,0.8226228560347204,6.21844255101447,0.7582138888888874,0.2417861111111108,0.7528405135135141,0.20189140277777826,1482.465463566631
0.8400000000000006,340.50748591284776,2.574236593501133E-5,0.16843306649377734,0.0,0.831566933506222,6.2160399704281275,0.7700476190476221,0.22995238095238088,0.7581340540540551,0.19316,1480.8220048005946
0.8450000000000006,340.26207329317475,2.5723812740964018E-5,0.16899930911066782,0.0,0.8310006908893319,6.2181928215199,0.7699708994709028,0.23002910052910053,0.7630578378378399,0.194374589947089,1479.4524915080212
0.8500000000000006,340.8772191365753,2.5770317766725092E-5,0.16874536643584728,0.0,0.8312546335641535,6.21823211523437,0.7698201058201086,0.23017989417989354,0.7671410810810806,0.19565291005291024,1481.0801300502683
0.8550000000000006,341.9692225920204,2.585287322795676E-5,0.1685010925073325,0.0,0.8314989074926681,6.218449647249192,0.769415343915346,0.230584656084656,0.7722729729729736,0.19714988095238106,1483.1699495225712
0.8600000000000007,342.38110987150327,2.5884011906285655E-5,0.16912050401266243,0.0,0.8308794959873368,6.218888530377528,0.7697671957671987,0.2302328042328042,0.7759431351351377,0.19800021164021178,1487.268695865722
0.8650000000000007,342.95973605053626,2.5927756045420562E-5,0.16915354023599977,0.0,0.8308464597640002,6.222243263492933,0.768910052910056,0.23108994708994682,0.7815111351351332,0.1998928042328042,1484.3028881067962
0.8700000000000007,341.7858387966796,2.5839009413028968E-5,0.16862542781175005,0.0,0.8313745721882498,6.21805523499919,0.7695343915343947,0.2304656084656081,0.7853184324324334,0.20050507936507764,1483.0983311238965
0.8750000000000007,343.5382378605289,2.597149078225599E-5,0.16874513451111298,0.0,0.8312548654888872,6.219594573130553,0.7692328042328083,0.2307671957671955,0.7900635135135177,0.20192129629629554,1488.7251578867415
0.8800000000000007,326.5230295020911,2.586062393656564E-5,0.16134199626131343,0.0,0.8386580037386875,6.221911908513617,0.779573232323231,0.22042676767676925,0.7959671351351376,0.19397555555555532,1481.5350131857372
0.8850000000000007,327.2208530278502,2.5915891559805683E-5,0.16143633556506845,0.0,0.8385636644349322,6.221946651962613,0.7795656565656556,0.2204343434343452,0.799977810810813,0.1950843939393937,1484.8828371801787
0.8900000000000007,326.04790317652146,2.5822993931580528E-5,0.16153596181365373,0.0,0.8384640381863476,6.221271206441142,0.7799696969696952,0.22003030303030446,0.8047764864864871,0.19582696969696914,1482.0344150782817
0.8950000000000007,327.55073857466084,2.5942018495113156E-5,0.1615966213781235,0.0,0.8384033786218762,6.22508211824971,0.7788964646464632,0.22110353535353713,0.8104829729729762,0.19788766414141523,1481.4742576706446
0.9000000000000007,327.72477387225973,2.5955802090682983E-5,0.1616853688827353,0.0,0.8383146311172653,6.22241302789326,0.7794797979797958,0.2205202020202038,0.8136729729729757,0.1984681818181816,1486.331012133605
0.9050000000000007,327.13696301458685,2.5909247470755296E-5,0.16161964487700553,0.0,0.8383803551229941,6.222241452621932,0.779598484848484,0.22040151515151718,0.8181200000000072,0.19946337121212124,1484.130474157328
0.9100000000000007,326.13515910353004,2.582990460099959E-5,0.16194967781786468,0.0,0.838050322182136,6.223742434443591,0.7796035353535334,0.22039646464646603,0.8228220000000026,0.2005607828282827,1480.0126661417723
0.9150000000000007,327.2747535412419,2.5920160480466402E-5,0.1621194716977643,0.0,0.8378805283022341,6.2259230015960005,0.7791136363636358,0.2208863636363655,0.82783264864865,0.20211102272727316,1481.795036557153
0.9200000000000007,313.4923448535755,2.5957166153876054E-5,0.1551191557401221,0.0,0.8448808442598773,6.227079189259147,0.7886231884057934,0.21137681159420166,0.8335647567567552,0.19446666666666657,1483.2192508889982
0.9250000000000007,314.0780439068955,2.6005662035490935E-5,0.155261978784543,0.0,0.8447380212154575,6.228464645805142,0.7882657004830886,0.21173429951690706,0.8382650000000098,0.1958542270531401,1483.4467511801345
0.9300000000000007,312.7325136748642,2.5894252132278824E-5,0.15459285711138546,0.0,0.8454071428886142,6.2221382820505005,0.7891038647342973,0.21089613526569942,0.8406697297297299,0.19613340579710103,1483.13983111666
0.9350000000000007,313.16476066559807,2.59300421831115E-5,0.15485436380819254,0.0,0.8451456361918083,6.224232771676851,0.7889782608695627,0.21102173913043354,0.8459273513513497,0.19730532608695692,1484.3500766299326
0.9400000000000007,313.0563313321396,2.5921064234301178E-5,0.15486263432708525,0.0,0.8451373656729149,6.227209234509973,0.7883309178743931,0.21166908212560295,0.851203027027029,0.19896893719806713,1479.3123743472818
0.9450000000000007,313.5790399880687,2.5964344511012045E-5,0.1550188726176428,0.0,0.8449811273823563,6.226850354371457,0.7884130434782588,0.2115869565217379,0.8553986756756782,0.19994967391304508,1481.941146105258
0.9500000000000007,312.4573318578431,2.5871467077829386E-5,0.15458922628776287,0.0,0.845410773712237,6.2221276017919775,0.789157004830916,0.210842995169081,0.8597089189189141,0.20030084541062815,1482.141465477542
