Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4
0.1,8325.159573483035,8324.65816282372,8275.150227452017,7955.885235042047,
50.1,2546.432563761333,2547.088225889174,2534.809718383093,2435.2410453439597,
100.1,1905.2381028143736,1904.5981520923156,1898.929151592497,1820.5161140988228,
150.1,1535.2872211794788,1531.8930629180204,1524.13571034743,1460.8605911068537,
200.1,1273.617474740685,1271.6137536086164,1265.3910452273137,1214.8340375395867,
250.1,1077.3836884275577,1074.57678694972,1070.0763361702197,1025.1757172688697,
300.1,920.5963012177514,919.9821662420501,918.5535158132942,882.9698730799962,
350.1,794.5759937978112,797.1980398321178,794.4968834418303,768.5589744810084,
400.1,693.4737897984838,696.8953242948578,693.1528588655153,673.5130030573807,
450.1,615.563054269376,614.9250392725785,614.0881187476025,597.1161462226603,
500.1,544.3820210458365,548.2894235698127,546.8232524555315,535.5970449838204,
550.1,489.337183455597,492.46014073778474,494.2792725393922,484.80752852290914,
600.1,451.52212125468697,450.5694853121434,447.6979338575622,440.6976754342489,
650.1,413.6333266114259,412.94726324357845,413.43759532503367,408.4378633517115,
700.1,384.2640975694698,385.2992079672993,384.7268527023046,381.9244979746053,
750.1,362.1975942112281,363.63822691826243,363.4094084698507,361.31426302304044,
800.1,346.84515690884956,346.9245897278343,347.4980681038578,344.9303882206481,
850.1,340.2628309659562,335.1557651861813,335.67475409572677,334.9327150358538,
900.1,330.8320953363968,330.0856003446556,329.53864520274544,328.45707461602893,
950.1,326.90262400463433,327.2032688839817,327.45578031956,326.6926511965732,
