Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.5,Chi = 0.6,Chi = 0.7,Chi = 0.7999999999999999,Chi = 0.8999999999999999,Chi = 0.9999999999999999
0.1,8925.079321359191,8691.179773068941,8601.026848976837,8510.784095303656,8462.748714557554,8404.161667788398,8373.170358048517,8330.392268629319,8306.37263234179,8283.767877727718,
10.1,4644.105260640095,4405.241046972532,4320.884249851605,4226.986119314264,4180.045117506791,4122.75960509233,4089.349561802431,4048.052911076993,4023.5665384593135,4000.537735615214,
20.1,4005.6297905040174,3769.0961208570247,3681.8333465059936,3588.922840628707,3541.410171677039,3482.4311877608,3450.587083948508,3407.663794001999,3383.433412677002,3361.8908348493474,
30.1,3633.5677174290367,3394.5945399385555,3304.894238522084,3213.6965128402344,3166.7440444796002,3108.5998501113277,3075.5499634719686,3034.838401112605,3009.232660641384,2986.060888170526,
40.1,3363.226347644249,3128.039418502721,3038.7762430529747,2946.5967228961267,2899.4794975492537,2841.6194157054965,2810.0762957486972,2767.4248282327612,2743.2814841257295,2721.3289981717057,
50.1,3161.9320313697986,2921.3837367947112,2831.0778572549902,2739.4186771822533,2692.8818516838915,2636.456105395744,2602.6845681040513,2560.9854341850814,2535.328173447824,2513.7524644224573,
60.1,2991.0935972021916,2750.215141435046,2664.0644012971056,2572.316263435819,2524.601977679462,2466.2780057257887,2433.649701966435,2391.9891852827245,2366.5238942182373,2344.6218967651293,
70.1,2846.5994732672466,2609.339249111709,2520.635118653615,2428.2880875876103,2381.2891695809826,2322.402112605577,2291.7812249046046,2249.078003582716,2223.872380713852,2200.720984018457,
80.1,2717.807257740822,2483.4380267974916,2398.3471813050364,2305.230512247386,2257.0222312965584,2200.5043245537736,2166.915026392226,2127.0187307071233,2099.7458778385144,2077.719451819303,
90.1,2614.7365357585622,2376.330213367043,2289.289557723661,2194.889538149484,2147.197643435824,2089.979887487362,2058.6732196490157,2016.9019821444836,1992.218866332918,1968.7148177973945,
100.1,2517.842637368935,2277.1812186203306,2189.5069071664557,2097.59766175461,2051.1358613058474,1993.3983117038777,1961.0795560829765,1918.8880940772724,1894.855936048316,1872.0454025072474,
110.1,2425.1762772320867,2189.029072561904,2101.793572025311,2008.0578864859438,1963.1368836983522,1905.8505731282196,1872.0603231482194,1830.8741161366506,1806.430997764681,1783.0602692566858,
120.1,2346.5008592934482,2108.3017163909426,2021.676235989892,1930.3617494989983,1881.1923944165312,1824.2493088903439,1791.8177437298716,1749.6663657961178,1726.1617954929281,1703.480724685821,
130.1,2274.2455654064956,2035.2231075051282,1947.6853139630773,1856.2468591427807,1806.1505357736512,1750.8286957750645,1718.8983810867721,1676.5388219754973,1651.2120479502994,1628.6570835132668,
140.1,2203.2685528698194,1966.694967859513,1877.865902725367,1786.5710649305702,1738.436860025564,1681.473916882286,1649.7815003379926,1608.0070440695083,1583.4343881371108,1561.3137764589558,
150.1,2140.2092853187623,1901.2171424878243,1816.490952171744,1723.3085671573863,1676.3346874519325,1619.2975523390253,1587.3889097804713,1544.3469794733744,1520.078508846688,1498.5215052462102,
160.1,2080.669036208752,1841.4759264606016,1754.813718226331,1663.5143246281168,1617.904174821652,1559.1191410181204,1527.3449546325326,1485.8460925959912,1462.3226928454637,1439.1055710122375,
170.1,2022.6204386890272,1786.9955346179386,1699.5694276975607,1607.352851562352,1561.1183437748646,1504.3100569038218,1471.1602832290346,1430.426213816897,1406.5748882894966,1384.8026672387016,
180.1,1973.0544833806448,1731.5704411161264,1646.562081070823,1554.905332178397,1508.3954430407857,1452.76738574332,1420.27549626619,1379.0823586528738,1354.7324094696673,1332.7029738205715,
190.1,1917.4255064320912,1683.1491622365515,1596.329787546123,1505.5521374405928,1460.7028663537287,1402.7508123650637,1370.0769828874393,1330.2510530560965,1304.911867454268,1283.8036086039383,
200.1,1873.2655925635825,1636.4738706683197,1549.4402079164195,1460.6047468461395,1413.1512758677002,1356.783531215845,1323.6537246577982,1283.6906846287916,1260.715077217862,1237.6752484151402,
210.1,1829.2549242117775,1592.150174162927,1504.5049568308912,1414.1366634168126,1368.2181486852135,1311.8058202176003,1282.5604404299286,1240.9575148539514,1216.5762793923486,1193.9564538374768,
220.1,1788.3774459021547,1548.0313794484582,1463.4114794858508,1370.9491885903428,1326.8071486539156,1270.081542921798,1239.3372237333822,1198.6672241923357,1174.6237889930658,1151.5677668324734,
230.1,1742.941020080101,1508.4995743320783,1422.6985928644026,1332.5051209018634,1286.0733864638548,1230.7806435244192,1200.3569878542776,1159.662684623489,1135.46547815502,1112.9064151404739,
240.1,1709.619662397577,1471.5598649813921,1384.232258795363,1295.1307848420834,1250.942424914657,1194.3782098511351,1162.0780148276503,1122.5110686763874,1098.5899195696393,1076.1223406214374,
250.1,1670.6045452117116,1435.0260478582657,1346.712361705724,1256.9429452205686,1212.951474762016,1158.0831610396249,1126.6871518587684,1085.9745808787188,1063.7142152519978,1040.2109435557302,
260.1,1633.2131441283327,1398.2284429626266,1313.2765921043936,1223.5116510872456,1179.2970954685968,1123.3779238373215,1093.236508880991,1052.4791907179142,1030.1738933873673,1007.3005040980656,
270.1,1600.7493156567375,1366.063348096315,1279.08569204135,1190.4745044620774,1145.2906549484464,1091.1254882366482,1060.6753907959794,1019.6973394430215,995.9942614856805,973.4467267786957,
280.1,1567.7806466862567,1332.0591890026851,1247.7035847960938,1158.7589687316104,1114.6451121002715,1058.7848022649252,1029.426422052109,990.4593334316291,967.7097888236451,943.108520199672,
290.1,1538.8364241793179,1301.8355737426352,1218.2584139976307,1129.4773450801933,1083.7662023410846,1028.9453852279548,999.766986492238,960.9136282571192,938.1763090665015,914.1544306885892,
300.1,1509.9257230542432,1273.5297965102577,1186.1485290596677,1100.2109560335732,1054.3628750013006,1000.4847897301839,969.9866185000576,932.0932275118357,910.158899973651,885.6914607951262,
310.1,1486.0866758754048,1243.5719154355174,1157.4675991185993,1072.4595551681368,1026.4146272829014,973.6738448589562,942.6965925056844,904.7803859256338,882.125671259057,858.118068616757,
320.1,1451.0177894190367,1218.6950988381548,1133.5582705971492,1045.0860747358481,1000.8247335138753,947.1904330719672,916.9419078734813,878.5510296767343,857.240743199641,832.0402856364339,
330.1,1430.5312194155767,1191.4036737553588,1107.709247149948,1018.2374571711248,974.3813142559244,921.4655007361843,892.3632618228509,854.7537942436918,831.2815441001255,807.0705737166564,
340.1,1398.8752307062705,1166.8768586022436,1082.8769005795946,994.3225252676049,950.3569614430062,896.8851768826715,867.737739814762,829.9557782947015,808.4089929126549,783.9095459396854,
350.1,1375.6847676520026,1140.9882205798608,1057.4498228023165,971.2975407611501,928.029820479805,874.5411197509305,846.0324605774723,808.1930325635772,785.8192380588537,761.0737685615005,
360.1,1354.3080752273672,1116.6524046703762,1035.207122380822,949.8653253430424,904.7787224263147,851.8488425748858,823.7583135661764,786.344110880189,764.461067693429,739.2995513001824,
370.1,1330.6570048038036,1095.5168780653194,1012.0627133057155,926.7689854456924,883.4783656210353,829.1615395159706,800.7185920655916,765.9154109397718,743.3185496297649,718.6903467785089,
380.1,1308.3685044720814,1073.832336230297,990.7261306796654,905.0986618110261,863.7382327939713,810.0742074746188,781.4226058101101,745.004243391177,723.9734451643288,698.0712641421748,
390.1,1289.2494032047332,1054.1692916259915,969.9746211697412,885.8026150867488,841.5510638992292,790.4286041263757,762.363002616897,725.7191357462337,703.9135393452141,679.6021131379428,
400.1,1270.852476280179,1033.4761399149265,951.5855412117824,865.3106173970141,823.2361683780628,771.3024912253074,743.1119309731316,707.7709809525267,685.5250150857842,660.9861009078127,
410.1,1251.0981842091328,1014.6316910746829,931.4175960965609,847.0083186826295,802.9534674265072,752.9966107915812,724.9976642421778,690.3297412938588,668.330090193848,643.1568495499213,
420.1,1233.6030355065377,994.5432682385317,913.7883318007073,828.2933871036554,786.2106462937409,734.698339723143,707.6889160241171,672.7409571168407,651.375128303093,625.6227211357856,
430.1,1217.2104047519094,976.7123543172829,897.1015216348472,811.7112579111055,770.2833147438598,718.9957651682626,692.0446620599097,655.8661138799962,634.409016952874,610.2925791521643,
440.1,1197.398855129491,960.8693525103322,879.2129671238552,795.3087987025156,753.5957673140894,703.8246592105606,675.6613309385702,641.0612410679732,618.9671349940622,593.849152655218,
450.1,1181.054765235105,943.0454946027924,863.1826545156616,778.8684646706405,736.9379857461212,686.9916096691877,660.273644371225,624.8963054362064,603.9211503166281,579.4236272786883,
460.1,1165.6641803159418,927.553769328961,847.1961741548985,762.9475347722334,720.6840886068526,671.9882650879359,644.6319029289959,610.8886669444128,588.964073886732,564.715381244867,
470.1,1148.5424610863663,914.139520051183,831.0643273836886,748.2540673267521,707.4606973947576,657.5285673049256,631.7200051998665,596.4497296166535,575.4134829161738,551.3547526029736,
480.1,1134.4809961708004,898.6288265401465,815.7695839838208,734.6417109726684,693.4861660836974,643.4120993034956,617.7773691430575,583.5870472368574,562.05392369641,538.0040057151211,
490.1,1117.5988870407568,885.9022554180049,805.5229965797569,720.2883658940644,680.4574944174759,631.3400541550373,603.7256961550348,570.5027237914261,549.551870521274,525.1451400937742,
