Chi(%),Avg Throughput per user(kBps)
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,1312.331723079168
0.05,1248.5824157057725
0.060000000000000005,1227.9926542394137
0.07,1253.0425844131685
0.08,1230.8282529849416
0.09,1225.98933931054
0.09999999999999999,1221.7586049415827
0.10999999999999999,1224.584538761662
0.11999999999999998,1223.280285436526
0.12999999999999998,1222.855471331531
0.13999999999999999,1218.8911615127727
0.15,1217.6710154548982
0.16,1215.8682549746907
0.17,1217.455513139073
0.18000000000000002,1219.8261711334703
0.19000000000000003,1218.9844564781004
0.20000000000000004,1218.7518963201733
0.21000000000000005,1219.059037665874
0.22000000000000006,1219.190155571403
0.23000000000000007,1220.0007685262422
0.24000000000000007,1219.6987263122114
0.25000000000000006,1222.5608644831716
0.26000000000000006,1220.5439447024808
0.2700000000000001,1221.261533173974
0.2800000000000001,1219.9794697822795
0.2900000000000001,1217.1549082484653
0.3000000000000001,1215.7048734289258
0.3100000000000001,1217.6002166567478
0.3200000000000001,1217.3435629281744
0.3300000000000001,1218.2827682899865
0.34000000000000014,1218.5607209110472
0.35000000000000014,1217.2924749775366
0.36000000000000015,1216.9606214801274
0.37000000000000016,1215.992099743848
0.38000000000000017,1215.7043787786527
0.3900000000000002,1214.617407797284
0.4000000000000002,1212.8718060825352
0.4100000000000002,1213.1954402646097
0.4200000000000002,1214.8082085958808
0.4300000000000002,1214.2149554965313
0.4400000000000002,1213.6346928430207
0.45000000000000023,1214.257956849491
0.46000000000000024,1216.8665994710775
0.47000000000000025,1216.9962048473415
0.48000000000000026,1216.2241608567433
0.49000000000000027,1215.3604626686579
0.5000000000000002,1215.273249144558
0.5100000000000002,1215.6872674947176
0.5200000000000002,1216.830085962564
0.5300000000000002,1215.8153172421312
0.5400000000000003,1215.1391058611612
0.5500000000000003,1216.4474188845145
0.5600000000000003,1216.0283734461198
0.5700000000000003,1216.0195920700137
0.5800000000000003,1216.3906273585405
0.5900000000000003,1215.7753863993994
0.6000000000000003,1215.7966304522286
0.6100000000000003,1215.393517528301
0.6200000000000003,1215.7345876781142
0.6300000000000003,1215.519513185263
0.6400000000000003,1215.7630960146917
0.6500000000000004,1215.9081347372905
0.6600000000000004,1216.3514749122512
0.6700000000000004,1215.7877779039002
0.6800000000000004,1216.0422087822903
0.6900000000000004,1216.1564971038674
0.7000000000000004,1216.623855980019
0.7100000000000004,1216.4739587257543
0.7200000000000004,1216.645544376353
0.7300000000000004,1215.777004510712
0.7400000000000004,1216.1339867194522
0.7500000000000004,1216.360649666385
0.7600000000000005,1216.5489899898998
0.7700000000000005,1216.8565485321726
0.7800000000000005,1216.6173627323149
0.7900000000000005,1216.683965950448
0.8000000000000005,1216.5265544497665
0.8100000000000005,1215.9452701116138
0.8200000000000005,1215.8621762313494
0.8300000000000005,1216.504603855989
0.8400000000000005,1216.2074828449727
0.8500000000000005,1216.0553449853517
0.8600000000000005,1216.3238092809497
0.8700000000000006,1215.7283444676812
0.8800000000000006,1215.6967847164622
0.8900000000000006,1215.4817009978556
0.9000000000000006,1215.3891099379834
0.9100000000000006,1215.7667959216435
0.9200000000000006,1215.8214647350494
0.9300000000000006,1215.2178027086147
0.9400000000000006,1216.3062173109195
0.9500000000000006,1215.943672938675
0.9600000000000006,1216.0133942159791
0.9700000000000006,1215.4309547169041
0.9800000000000006,1215.980444255028
0.9900000000000007,1216.065945080651
