Chi(%),Avg Throughput per user(kBps)
0.1,1035.108519720899
0.15000000000000002,1044.0700700275806
0.2,1051.4082578756534
0.25,1066.230402774928
0.3,1067.7674829709244
0.35,1076.1884684476393
0.39999999999999997,1078.7637043496943
0.44999999999999996,1075.7814877616852
0.49999999999999994,1074.0268876806854
0.5499999999999999,1076.860300025046
0.6,1076.1458137268805
0.65,1077.8438754443373
0.7000000000000001,1081.7461844158922
0.7500000000000001,1084.2375992577854
0.8000000000000002,1084.3621421058594
0.8500000000000002,1085.0249988321334
0.9000000000000002,1086.0742630042907
0.9500000000000003,1084.1174481990934
