Chi(proportion),Avg UE Throughput(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy,Proportion UE dropped,Avg Power Consumed by BS (kW)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.030000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,1208.3912486325305,4.5918867448036185E-6,0.7447386373130928,392.87230650934356,0.2562613626869071,4.028365276395587,0.0,0.0
0.045,1204.4010662229161,4.576724051647079E-6,0.7442850788143477,392.56238758798725,0.25671492118565326,4.029225053304108,0.0,0.0
0.049999999999999996,1220.0653454041942,4.63624831253593E-6,0.7378086132480184,394.95944114280076,0.26319138675198184,4.022413342189088,0.0,0.0
0.05499999999999999,1205.8866044652036,4.5823690969677615E-6,0.7507045727418531,399.91428171507835,0.250295427258147,4.03465412924576,0.0,0.0
0.05999999999999999,1207.619259845858,4.588953187414255E-6,0.7436628779251417,392.3549196193102,0.2573371220748573,4.028777396670717,0.0,0.0
0.06499999999999999,1204.4746604662703,4.577003709771822E-6,0.7482369722882153,395.48931717599334,0.2527630277117847,4.03258532633568,0.0,0.0
0.06999999999999999,1211.138220899792,4.602325239419216E-6,0.745192913990608,396.3736887656116,0.2558070860093925,4.029174593071069,0.0,0.0
0.075,1211.0532215260137,4.602002241798853E-6,0.7448715580629346,392.5947579078689,0.256128441937065,4.028736673834587,0.0,0.0
0.08,1212.3735168223363,9.21403872784974E-6,0.7265615625251599,424.21186268063883,0.2744384374748395,5.019286613890327,0.0,0.0
0.085,1212.478025673789,9.21483299512077E-6,0.7265634814451021,424.38314953742554,0.2744365185548983,5.019489940801927,0.0,0.0
0.09000000000000001,1215.7389122863458,9.239615733376237E-6,0.7253771792654478,426.2260385734807,0.27562282073455185,5.017953408031313,0.0,0.0
0.09500000000000001,1207.7070981703673,9.178573946094812E-6,0.7261369592202978,422.4778518716993,0.27486304077970247,5.019157119211698,0.0,0.0
0.10000000000000002,1204.0622898389772,9.150873402776235E-6,0.7275468780495654,423.89166647219054,0.27345312195043453,5.02080111087617,0.0,0.0
0.10500000000000002,1215.7672632829742,9.239831200950602E-6,0.7202760626014169,421.82450098975283,0.28072393739858387,5.013911787673573,0.0,0.0
0.11000000000000003,1209.1773006474737,9.189747484920816E-6,0.7267797440019294,419.86554322191796,0.2742202559980712,5.019292545332162,0.0,0.0
0.11500000000000003,1208.4199455991952,9.183991586553873E-6,0.7284191097360346,427.9521817319363,0.2725808902639645,5.021292074297621,0.0,0.0
0.12000000000000004,1203.5658724322384,1.3720650945727524E-5,0.7190157500167176,418.62276210526767,0.28198424998328225,5.599229478318552,0.0018245614035087736,0.0
0.12500000000000003,1206.7299044753274,1.3756720911018712E-5,0.7182544980670973,415.77651878837594,0.2827455019329021,5.597237383422198,0.0023859649122807028,0.0
0.13000000000000003,1207.2009485320716,1.3762090813265612E-5,0.7169292521674652,417.2102562771799,0.28407074783253516,5.596945906930961,0.00192982456140351,0.0
0.13500000000000004,1203.160839221542,1.3716033567125578E-5,0.7175795668933755,415.5728849801652,0.28342043310662446,5.597310396181574,0.0028596491228070195,0.0
0.14000000000000004,1212.0069109080086,1.3816878784351304E-5,0.7168929865488665,420.0210787177802,0.2841070134511336,5.596458785422991,0.0022982456140350892,0.0
0.14500000000000005,1205.0163150212866,1.3737185991242689E-5,0.7201141322141431,421.510661564496,0.2808858677858574,5.600467487740893,0.0015263157894736847,0.0
0.15000000000000005,1210.882246524496,1.3804057610379222E-5,0.7138868517738829,415.90998468570393,0.28711314822611633,5.593769019096628,0.0023508771929824576,0.0
0.15500000000000005,1205.3805047347748,1.3741337753976425E-5,0.715761491133723,416.5514654960912,0.2852385088662763,5.595334946685908,0.0023508771929824576,0.0
0.16000000000000006,1155.1705051290965,1.7558591677962257E-5,0.6837801783370803,224.71804263545124,0.31721982166292095,5.946640769105237,0.04515789473684245,0.0
0.16500000000000006,1160.0964775903026,1.763346645937259E-5,0.6777680417558549,216.72617157653562,0.3232319582441463,5.939448910549478,0.046421052631579314,0.0
0.17000000000000007,1154.2415608137167,1.7544471724368487E-5,0.6816143669850888,213.01144404454038,0.3193856330149105,5.9415410358533425,0.04830263157894771,0.0
0.17500000000000007,1148.873511675147,1.74628773774622E-5,0.6839594332218126,218.85677126248763,0.31704056677818776,5.944438643689589,0.047657894736842475,0.0
0.18000000000000008,1154.1256068296414,1.7542709223810586E-5,0.6869056068915843,231.7059849285189,0.31409439310841425,5.951276886811385,0.04346052631578975,0.0
0.18500000000000008,1150.1957536504694,1.7482975455487136E-5,0.6841192809202218,210.1975448169764,0.31688071907977794,5.945568029153683,0.04589473684210557,0.0
0.19000000000000009,1154.1396559081534,1.754292276980393E-5,0.6852980312911883,219.44018677138146,0.31570196870881057,5.947943445198238,0.0455394736842108,0.0
0.1950000000000001,1150.5281779141828,1.7488028304295572E-5,0.6825252034024034,214.04774629764088,0.3184747965975976,5.943526503832022,0.04726315789473726,0.0
