Chi(proportion),Avg UE Throughput(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0
0.030000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0
0.04,921.2305272617089,3.5006760035944986E-6,0.6461723115960585,202.5390585551858,0.3548276884039412,3.897624981195194
0.045,920.1289934288097,3.496490175029475E-6,0.6409891569257565,203.86195385649407,0.3600108430742429,3.8926099776551046
0.049999999999999996,914.8254233587966,3.4763366087634315E-6,0.6536164170032651,203.84730476176753,0.34738358299673466,3.9088622531177175
0.05499999999999999,927.9715130567922,3.52629174961581E-6,0.6421394563071311,203.09371378304215,0.35886054369286857,3.8921195792562044
0.05999999999999999,933.2127422451005,3.5462084205313786E-6,0.6394863626256676,204.53663489653655,0.3615136373743315,3.890443881698988
0.06499999999999999,933.7003961282004,3.5480615052871594E-6,0.63625348118647,203.7751918002784,0.364746518813531,3.8848966273373944
0.06999999999999999,921.416331809524,3.501382060876191E-6,0.6427298876948104,202.36933616366176,0.3582701123051886,3.8946781092155933
0.075,924.039704940583,3.511350878774212E-6,0.638746367489491,202.48656785494785,0.362253632510509,3.8893607560002876
0.08,933.1197409927412,7.091710031544827E-6,0.6158475243143766,217.01354192555203,0.3851524756856227,4.874073952772823
0.085,924.3583501034992,7.025123460786581E-6,0.6162201137159272,215.9028212708825,0.3847798862840721,4.874915619854471
0.09000000000000001,932.8840590733752,7.089918848957647E-6,0.6119975651617544,219.65557150276476,0.389002434838246,4.870558114785598
0.09500000000000001,930.1005774594427,7.068764388691767E-6,0.6136407418370319,217.96870228816445,0.38735925816296807,4.872957539584918
0.10000000000000002,938.8715546762398,7.135423815539412E-6,0.6174173512464358,218.80034375551773,0.38358264875356307,4.874769838857988
0.10500000000000002,932.360473430689,7.085939598073239E-6,0.6159926177441754,216.5915039247059,0.3850073822558243,4.873690108502741
0.11000000000000003,932.6570739492341,7.088193762014179E-6,0.6151616147353762,217.0720757042048,0.3858383852646238,4.873138910185804
0.11500000000000003,924.151120073811,7.023548512560977E-6,0.61853544371053,215.41514025228162,0.38246455628946985,4.878212594626152
0.12000000000000004,930.5885249586038,1.0608709184528093E-5,0.6114838396863652,221.67161508619367,0.3895161603136347,5.457998798201436
0.12500000000000003,930.5427157859156,1.0608186959959425E-5,0.6106504068530851,221.28016777620132,0.3903495931469134,5.458358741559672
0.13000000000000003,929.0015067542647,1.05906171769986E-5,0.6094232950770094,220.9147392273287,0.3915767049229906,5.456824773471453
0.13500000000000004,931.0707221279257,1.0614206232258373E-5,0.6074209917521675,220.89410149412248,0.39357900824783276,5.454694096268364
0.14000000000000004,931.326014949288,1.0617116570421898E-5,0.6092785360348164,221.07846813059535,0.39172146396518354,5.456544423747069
0.14500000000000005,932.4918023739906,1.0630406547063504E-5,0.6065859985519565,220.24567832375988,0.39441400144804245,5.452740790577758
0.15000000000000005,934.0071801453012,1.0647681853656431E-5,0.6089509633445402,221.56116824344306,0.3920490366554592,5.455512100212246
0.15500000000000005,927.7705018741771,1.0576583721365621E-5,0.6067683891800283,218.99639932268468,0.3942316108199723,5.45358628447147
0.16000000000000006,928.9937882371364,1.4120705581204488E-5,0.6028381133270762,220.64158676690292,0.3981618866729234,5.866580012718909
0.16500000000000006,933.8882844259945,1.4195101923275127E-5,0.5999903552562456,220.48085957880443,0.40100964474375483,5.864121888314673
0.17000000000000007,934.9291914732125,1.4210923710392837E-5,0.6013984922126819,223.0257203500477,0.3996015077873181,5.86497860045271
0.17500000000000007,932.6393879040967,1.417611869614225E-5,0.6024685765701551,221.7371310844998,0.39853142342984593,5.867449900440038
0.18000000000000008,930.3072897922406,1.4140670804842044E-5,0.6024617996580751,221.7530745795924,0.39853820034192455,5.865730332185396
0.18500000000000008,926.5895662155309,1.4084161406476073E-5,0.6063766600705425,222.7117898717775,0.39462333992945803,5.870430338153097
0.19000000000000009,934.1704865767949,1.4199391395967308E-5,0.6002924858300591,220.95788592497144,0.40070751416994105,5.863593088718531
0.1950000000000001,930.6191698924484,1.4145411382365221E-5,0.6035275196776267,220.9695406585704,0.39747248032237353,5.866848289956891
0.2000000000000001,928.7387013498777,1.7646035325647698E-5,0.6016263611949408,220.7023253590476,0.39937363880505894,6.188325775663642
0.2050000000000001,930.5282782797153,1.76800372873146E-5,0.5999658588508412,222.36452299407426,0.40103414114915875,6.186998515175714
0.2100000000000001,924.6222130366548,1.756782204769642E-5,0.6001379838304205,220.44557389591017,0.4008620161695796,6.187104687160001
0.2150000000000001,929.5736728919294,1.766189978494669E-5,0.5984344030208376,220.78271796840335,0.40256559697916144,6.185460690341754
0.2200000000000001,927.5445288423938,1.7623346048005484E-5,0.5972890076088274,220.4968484726247,0.40371099239117286,6.183729697434945
0.22500000000000012,930.5736901404766,1.7680900112669055E-5,0.5968920567830241,218.890660012475,0.4041079432169757,6.182652518419818
0.23000000000000012,924.3604811373699,1.7562849141610036E-5,0.6003859778096665,219.9734646256047,0.40061402219033326,6.18714467210947
0.23500000000000013,927.1121797577823,1.761513141539783E-5,0.6021704763742237,222.41667783456234,0.398829523625777,6.189985326940756
