Hour,Chi,Average Throughput(kBps),Average Power Consumed (W),Fairness Index,Spectral Efficiency,Cell-Edge Throughput (kBps)
0.5,0.8,209.42609369605853,205.0218630428295,0.0747456817252127,17.591791870468914,0.0
1.5,0.62,206.42722754549902,188.141943858193,0.07451038790256109,13.004915335366434,0.0
2.5,0.42,211.36341184959372,169.38647809748556,0.0760768896147937,8.877263297682937,0.0
3.5,0.28,214.21251309090658,156.2576520649908,0.07648468401471008,6.297847884872657,0.0
4.5,0.19,202.35251715328897,147.81769247267218,0.07649911654610583,3.399522288175255,0.0
5.5,0.15,211.93273889351386,144.0665993205308,0.07784957848554938,2.670352510058276,0.0
6.5,0.14,210.14377643476396,143.12882603249503,0.07666249483171302,2.6478115830780258,0.0
7.5,0.18,210.03363622153756,146.87991918463692,0.07566069285157914,3.528565088521829,0.0
8.5,0.26,209.41859321722706,154.3821054889195,0.07614010778464991,5.277348549074123,0.0
9.5,0.39,213.52090344756826,166.57315823337933,0.07587256194458018,8.071090150318074,0.0
10.5,0.51,213.52992148596164,177.82643768980412,0.07734977291583736,10.761908042892474,0.0
11.5,0.59,214.68056662262444,185.32862399408663,0.07677208460257327,12.623217317410315,0.0
12.5,0.64,212.04059899866027,190.01749043426386,0.07571311231523781,14.249128252709957,0.0
13.5,0.65,212.14242358462334,190.95526372229898,0.07595893924489831,14.255970864886692,0.0
14.5,0.68,219.68460325931923,193.7685835864053,0.07863088185831241,15.68548067271539,0.0
15.5,0.72,211.32998766057975,197.51967673854634,0.0752592296228511,15.976547067139826,0.0
16.5,0.75,211.5178528959193,200.33299660265288,0.0755007145130238,15.990749678931495,0.0
17.5,0.78,216.2333495295109,203.1463164667588,0.07650901766108466,17.255421292454965,0.0
18.5,0.8,209.39905589746698,205.0218630428295,0.07545269778753064,17.589520695387222,0.0
19.5,0.85,208.65501204544992,209.7107294830068,0.07487385521853579,18.403372062408685,0.0
20.5,0.93,215.86921631637614,217.2129157872901,0.07647146963326447,20.85296629616192,0.0
21.5,0.99,211.1258459111852,222.83955551550156,0.07492407994026795,21.28148526784748,0.0
22.5,1.0,215.6827709713849,223.77732880353744,0.0768234165464504,22.646690951995414,0.0
23.5,0.9400000000000001,205.05280578812588,218.15068907532518,0.07367021598411595,19.80810103913296,0.0
