Hour,Chi,Average Throughput(kBps),Average Power Consumed (W),Fairness Index,Spectral Efficiency,Cell-Edge Throughput (kBps)
0.5,0.8,297.9919982745011,10.251093152141493,0.09947292745827939,25.03132785505809,0.0
1.5,0.62,172.0960994085233,12.542796257212869,0.06486573798799085,10.842054262736967,0.0
2.5,0.42,213.5675240349035,16.93864780974856,0.07198210972866421,8.969836009465947,0.0
3.5,0.28,109.12471290146125,22.322521723570066,0.05246658139998111,3.208266559302961,0.0
4.5,0.19,164.37298731705724,36.95442311816804,0.05601849760644737,2.7614661869265618,0.0
5.5,0.15,229.65297603561743,48.02219977351022,0.09492352429840874,2.89362749804878,0.0
6.5,0.14,259.4381592396877,47.70960867749843,0.09898985148728995,3.2689208064200646,0.0
7.5,0.18,403.9900499057209,36.719979796159166,0.1254697501592481,6.787032838416112,0.0
8.5,0.26,322.10988313976037,25.73035091481994,0.09396712553159833,8.11716905512196,0.0
9.5,0.39,235.09785755530868,18.508128692597737,0.08443942097914095,8.886699015590668,0.0
10.5,0.51,246.38944631309,14.818869807483676,0.08343596920206343,12.418028094179736,0.0
11.5,0.59,131.57117209853823,13.237758856720502,0.05074554479999742,7.736384919394047,0.0
12.5,0.64,160.90447280744388,11.876093152141491,0.06089494021562793,10.81278057266023,0.0
13.5,0.65,202.43717319966487,11.934703982643699,0.06944777184370052,13.603778039017481,0.0
14.5,0.68,235.7448865521014,11.398151975670904,0.08190912674910447,16.832184899820042,0.0
15.5,0.72,130.11501874452335,10.973315374363713,0.04545986920202368,9.836695417085965,0.0
16.5,0.75,204.7531511986827,11.129610922369613,0.0689944525937972,15.479338230620412,0.0
17.5,0.78,230.63591743125113,10.691911392987327,0.08202020796429946,18.40474621101384,0.0
18.5,0.8,220.8137875170679,10.251093152141493,0.07822997493917994,18.548358151433703,0.0
19.5,0.85,199.18813880164763,9.986225213476507,0.07323234814747742,17.56839384230532,0.0
20.5,0.93,213.5234978302082,9.44403981683868,0.0691158918195405,20.626369890398113,0.0
21.5,0.99,310.5262020200637,9.284981479812583,0.10198434750587815,31.301041163622422,0.0
22.5,1.0,237.95822071987183,8.95109315214149,0.08085609991896543,24.985613175586543,0.0
23.5,0.9400000000000001,222.2040049845663,9.4848125684924,0.07371797508851087,21.464906881509105,0.0
