Chi(%),Avg Throughput per user(kBps)
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,1003.3197959479809
0.05,1084.0156294785338
0.060000000000000005,1070.7315217387727
0.07,1079.9225538332387
0.08,1103.5132837742733
0.09,1105.6820108225625
0.09999999999999999,1112.1822148808612
0.10999999999999999,1107.5174925993554
0.11999999999999998,1110.6105206410334
0.12999999999999998,1104.2825737277997
0.13999999999999999,1101.5300570710215
0.15,1103.3132995951423
0.16,1104.1754465031004
0.17,1106.1093206531066
0.18000000000000002,1107.0142832633824
0.19000000000000003,1103.0388804239042
0.20000000000000004,1100.5472306401275
0.21000000000000005,1101.1043312008956
0.22000000000000006,1094.9717189367934
0.23000000000000007,1091.4303914044638
0.24000000000000007,1092.8660762666073
0.25000000000000006,1092.1120192548806
0.26000000000000006,1091.0143360962143
0.2700000000000001,1088.445337356495
0.2800000000000001,1089.7167296687605
0.2900000000000001,1090.20188641559
0.3000000000000001,1088.8565156166494
0.3100000000000001,1091.5348417761807
0.3200000000000001,1088.6207591830967
0.3300000000000001,1087.3839197042282
0.34000000000000014,1086.443769272327
0.35000000000000014,1085.7156470190707
0.36000000000000015,1084.7294842740955
0.37000000000000016,1082.0735025248982
0.38000000000000017,1083.4007787410885
0.3900000000000002,1083.973599532877
0.4000000000000002,1083.2243545011993
0.4100000000000002,1085.574726714636
0.4200000000000002,1086.0458209364822
0.4300000000000002,1086.9041462711846
0.4400000000000002,1087.5069475880423
0.45000000000000023,1087.166341060991
0.46000000000000024,1085.7220119195008
0.47000000000000025,1087.875352604812
0.48000000000000026,1088.428144061224
0.49000000000000027,1087.4076818907365
0.5000000000000002,1088.2937858228183
0.5100000000000002,1088.7901943301217
0.5200000000000002,1088.7184484518607
0.5300000000000002,1089.3880809767584
0.5400000000000003,1089.1628078977076
0.5500000000000003,1088.3918995609024
0.5600000000000003,1089.5636610093916
0.5700000000000003,1090.1104566088839
0.5800000000000003,1089.4828781202752
0.5900000000000003,1090.5219180155777
0.6000000000000003,1091.2335440580684
0.6100000000000003,1091.0725883151808
0.6200000000000003,1090.7996928344583
0.6300000000000003,1090.868487979124
0.6400000000000003,1089.763417682842
0.6500000000000004,1090.3870452844249
0.6600000000000004,1089.644146596042
0.6700000000000004,1089.5845506877426
0.6800000000000004,1089.1371929983707
0.6900000000000004,1088.8134999111867
0.7000000000000004,1088.6881619765434
0.7100000000000004,1089.5699774712855
0.7200000000000004,1090.1612772185217
0.7300000000000004,1090.2267542046425
0.7400000000000004,1089.83262493941
0.7500000000000004,1090.495982697141
0.7600000000000005,1091.0155850976496
0.7700000000000005,1090.5105090093643
0.7800000000000005,1090.3327298185845
0.7900000000000005,1090.2312040718984
0.8000000000000005,1090.821267360961
0.8100000000000005,1090.1433818162382
0.8200000000000005,1090.6326565207125
0.8300000000000005,1090.2972682336413
0.8400000000000005,1090.8326219895357
0.8500000000000005,1090.2957461674116
0.8600000000000005,1089.9466918700823
0.8700000000000006,1090.719350246673
0.8800000000000006,1090.3683575615119
0.8900000000000006,1091.252086721354
0.9000000000000006,1089.9817365271124
0.9100000000000006,1090.2915670819054
0.9200000000000006,1090.3656220842183
0.9300000000000006,1090.3438650006462
0.9400000000000006,1090.5777574670444
0.9500000000000006,1090.5230766372713
0.9600000000000006,1089.1183850808432
0.9700000000000006,1089.8234952057073
0.9800000000000006,1089.6703283444938
0.9900000000000007,1089.6081536552838
