Chi(proportion),Avg UE Throughput(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy,Proportion UE dropped,Avg Power Consumed by BS (kW)
0.1,106.10992575927477,1.5322273279639274E-5,0.10100483207701676,0.011932967216824844,0.8999951679229832,6.613452837318156,0.0,0.0
0.10500000000000001,104.69396138450986,1.5117808023923198E-5,0.10185491103939191,0.010045261436603404,0.899145088960608,6.622331849875533,0.0,0.0
0.11000000000000001,104.93145226137189,1.5152101706542114E-5,0.10060680757278552,0.011308002158498967,0.9003931924272147,6.603993808846016,0.0,0.0
0.11500000000000002,104.9653217470278,1.5156992460270813E-5,0.10276752682002455,0.01580602746269772,0.898232473179976,6.629235136664706,0.0,0.0
0.12000000000000002,90.12314423202425,1.9520673040656464E-5,0.0810873192683307,0.0023324746673689754,0.919912680731669,6.961789755451885,0.0,0.0
0.12500000000000003,90.44921943141652,1.959130092884478E-5,0.08022708506519316,0.0032566657400272866,0.9207729149348064,6.9472009958799585,0.0,0.0
0.13000000000000003,90.89663868555063,1.968821193929029E-5,0.08158313180431444,0.0019762601446851285,0.9194168681956854,6.966689884666828,0.0,0.0
0.13500000000000004,89.08358561451159,1.9295504644103206E-5,0.08233434034994751,0.0030672472443077003,0.9186656596500513,6.982503181303307,0.0,0.0
0.14000000000000004,89.55552838073999,1.9397727447268297E-5,0.08004720353354969,0.0013932639001908202,0.9209527964664506,6.9454685257221245,0.0,0.0
0.14500000000000005,89.67690664693099,1.94240179797253E-5,0.08119052596139195,0.0011554078463970338,0.9198094740386088,6.9705033815096655,0.0,0.0
0.15000000000000005,90.34034648690726,1.9567719049064117E-5,0.08282014259908554,0.0037592323247821577,0.9181798574009143,6.976875615591631,0.0,0.0
0.15500000000000005,89.26834915204573,1.933552442633312E-5,0.08021748348811387,0.0014285774425019844,0.9207825165118863,6.949661707887244,0.0,0.0
0.16000000000000006,81.68302298954524,2.3590057039380678E-5,0.06861884310322804,9.738162059052872E-4,0.9323811568967725,7.192239865972554,0.0,0.0
0.16500000000000006,81.13446934878512,2.3431634747929155E-5,0.07039134519882519,5.751619652319423E-4,0.9306086548011733,7.217592374331644,0.0,0.0
0.17000000000000007,80.9097519135287,2.3366736352627042E-5,0.07015727427374402,5.924183803329587E-4,0.9308427257262557,7.21433273207831,0.0,0.0
0.17500000000000007,79.8040026424971,2.3047395963153113E-5,0.07035666195205936,9.105102092199573E-4,0.9306433380479415,7.222352746971816,0.0,0.0
0.18000000000000008,81.67553851231253,2.358789552235588E-5,0.06940123336112096,5.037745093982338E-4,0.9315987666388809,7.203996200388099,0.0,0.0
0.18500000000000008,80.45159979307633,2.3234422020240478E-5,0.06993000294472272,7.116631512084783E-4,0.9310699970552767,7.210366626374717,0.0,0.0
0.19000000000000009,80.98637696301827,2.3388865666919648E-5,0.06984438002929294,3.8451924556422227E-4,0.9311556199707065,7.206236024096437,0.0,0.0
0.1950000000000001,82.06421224643813,2.3700144496771377E-5,0.06959812919616916,7.687271250477307E-4,0.9314018708038305,7.199348730725978,0.0,0.0
0.2000000000000001,76.13290129283938,2.7483977366714986E-5,0.06176836811137958,3.749079204354761E-4,0.9392316318886201,7.380671245601533,0.0,0.0
0.2050000000000001,74.69313915522761,2.696422323503715E-5,0.0621991890896039,2.529565156997002E-4,0.9388008109103968,7.400400442225278,0.0,0.0
0.2100000000000001,76.83406817947863,2.773709861279182E-5,0.06130818839135862,2.3942733840898978E-4,0.9396918116086419,7.373200499626482,0.0,0.0
0.2150000000000001,75.40594274796332,2.722154533201476E-5,0.06255887207775139,2.227975319701169E-4,0.9384411279222499,7.395999518611737,0.0,0.0
0.2200000000000001,75.26830782696697,2.7171859125535064E-5,0.06306634673180808,2.456130064046242E-4,0.9379336532681921,7.407332228516125,0.0,0.0
0.22500000000000012,77.35259794959404,2.7924287859803437E-5,0.06121424855702646,2.476038250032164E-4,0.9397857514429735,7.373202282373991,0.0,0.0
0.23000000000000012,76.09502812461444,2.7470305152985813E-5,0.06256582473875721,2.4379555732088E-4,0.9384341752612425,7.394508259974525,0.0,0.0
0.23500000000000013,76.0784425360721,2.746431775552198E-5,0.06107196807269184,2.602083219745016E-4,0.9399280319273076,7.36612013737471,0.0,0.0
0.24000000000000013,71.87361426348203,3.1135649698940446E-5,0.05661072352231754,1.9128507001244048E-4,0.9443892764776828,7.544230482807428,0.0,0.0
0.24500000000000013,71.20944820203823,3.084793296112297E-5,0.05705453590585304,1.8405846706168354E-4,0.9439454640941463,7.551783066858318,0.0,0.0
0.2500000000000001,71.20162540282337,3.084454412450309E-5,0.057524618612729506,1.7041602532372646E-4,0.9434753813872712,7.56417347722281,0.0,0.0
0.2550000000000001,71.35890893777675,3.091267935184494E-5,0.056619144669316404,1.9385837886608522E-4,0.9443808553306843,7.551648242933217,0.0,0.0
0.2600000000000001,70.28399308944181,3.0447025806346228E-5,0.05778928135303185,2.0431404278158734E-4,0.9432107186469696,7.578469524988813,0.0,0.0
0.2650000000000001,70.5061589256193,3.054326804657829E-5,0.057245304009484646,1.8231185089754272E-4,0.9437546959905153,7.554968288772136,0.0,0.0
0.27000000000000013,71.39786266446599,3.092955410624673E-5,0.0567200461367996,1.8544356546442635E-4,0.944279953863201,7.550559801144889,0.0,0.0
0.27500000000000013,72.16071261447836,3.126002070459208E-5,0.05706177051290723,1.7684828909872698E-4,0.9439382294870926,7.554444786608425,0.0,0.0
