Chi(proportion),Avg UE Throughput(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0
0.030000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0
0.04,1211.1139356051149,4.602232955299426E-6,0.7396530424082893,392.174416778242,0.2613469575917114,4.024400632551512
0.045,1206.7077180657548,4.585489328649863E-6,0.7430313544267079,391.93278886938924,0.25796864557329235,4.027555122718237
0.049999999999999996,1202.0315181408832,4.56771976893536E-6,0.7493058104769181,395.0942097694568,0.25169418952308226,4.033280800038962
0.05499999999999999,1210.9621789241462,4.601656279911749E-6,0.7407005868677164,390.4810788325131,0.26029941313228466,4.0247933322003355
0.05999999999999999,1209.7805432367893,4.597166064299796E-6,0.7395918568706898,394.87484085332335,0.2614081431293094,4.024459925244538
0.06499999999999999,1214.5115280965213,4.6151438067667765E-6,0.7396849159748681,396.6623380762155,0.2613150840251311,4.023819636239118
0.06999999999999999,1200.8819059423681,4.563351242580994E-6,0.7476943353796354,398.2789441325199,0.25330566462036513,4.031927309826133
0.075,1206.5436750232927,4.584865965088514E-6,0.7511074981733762,399.44619337353754,0.2498925018266236,4.035322369559217
0.08,1201.3104689659635,9.129959564141317E-6,0.7293292096445751,422.6243031400225,0.27167079035542396,5.022203544508097
0.085,1209.5958333375208,9.192928333365149E-6,0.7276306712647791,423.8217824000076,0.27336932873522035,5.020240492864327
0.09000000000000001,1200.2108541514203,9.121602491550783E-6,0.7285743971121253,422.3324876505925,0.2724256028878756,5.0215775819692325
0.09500000000000001,1206.519083739137,9.169545036417466E-6,0.7246350562173284,423.03437870000255,0.2763649437826719,5.0171379889319185
0.10000000000000002,1205.7923214925684,9.164021643343514E-6,0.7268560899430742,424.10512878761284,0.27414391005692607,5.019947930471024
0.10500000000000002,1213.9302640018532,9.225870006414108E-6,0.7269207610228451,425.5762087036611,0.2740792389771537,5.019855436234202
0.11000000000000003,1206.411548862404,9.168727771354253E-6,0.7260251058074056,422.0755357207835,0.2749748941925949,5.018695057881963
0.11500000000000003,1213.8077602963388,9.22493897825217E-6,0.7239100937159115,422.00877760484593,0.27708990628408814,5.016603876973418
0.12000000000000004,1205.842015695542,1.3746598978929185E-5,0.7172445846951694,418.70953980382984,0.2837554153048299,5.596841930671909
0.12500000000000003,1207.3662323712576,1.3763975049032324E-5,0.7211800701428948,414.9314338476471,0.27981992985710447,5.600037247568966
0.13000000000000003,1205.234775155041,1.3739676436767505E-5,0.7176034146962844,419.359991860101,0.28339658530371586,5.597851530920539
0.13500000000000004,1205.8034829650599,1.3746159705801664E-5,0.7169931929878836,416.98065879298775,0.28400680701211595,5.59680740610883
0.14000000000000004,1200.4040594270737,1.3684606277468652E-5,0.7197850782248089,422.1753634972947,0.281214921775191,5.600228584344115
0.14500000000000005,1201.3564555592843,1.3695463593375855E-5,0.720927349982085,419.1708985098425,0.28007265001791304,5.6010630799279735
0.15000000000000005,1203.9092092181033,1.3724564985086372E-5,0.7163589201375641,419.5973010176741,0.28464107986243625,5.596954197622306
0.15500000000000005,1213.4610929557832,1.3833456459695921E-5,0.7185343373504623,420.4014974201417,0.282465662649537,5.598260116891286
0.16000000000000006,1149.0430339070224,1.7465454115386753E-5,0.6820183995399907,207.60950722908623,0.3189816004600102,5.941605992722386
0.16500000000000006,1153.9131065380627,1.7539479219378565E-5,0.6854062335640242,215.14011608722126,0.3155937664359754,5.94594914865017
0.17000000000000007,1151.2427717067483,1.7498890129942585E-5,0.6839241668151074,207.61672099821791,0.3170758331848924,5.9457804831169305
0.17500000000000007,1152.7778881860665,1.7522223900428257E-5,0.685307464650214,219.87305105457793,0.3156925353497868,5.946681713005114
0.18000000000000008,1149.8752685754419,1.7478104082346712E-5,0.6842824172668434,211.44193783359842,0.316717582733155,5.945049147737468
0.18500000000000008,1159.932375572279,1.7630972108698635E-5,0.6831608330103247,220.13361681904354,0.31783916698967524,5.945515860671917
0.19000000000000009,1152.6267238314385,1.7519926202237877E-5,0.6870353189557111,224.9187138241137,0.31396468104429115,5.949603382750192
0.1950000000000001,1149.6117492431606,1.747409858849601E-5,0.68547583323391,215.15645802387743,0.3155241667660887,5.947678365411244
0.2000000000000001,1035.4549677024327,1.967364438634624E-5,0.6115771947513291,9.299063685370418,0.3894228052486706,6.1092275916691055
0.2050000000000001,1028.1253356525804,1.9534381377399004E-5,0.6078357427248986,7.271009721119381,0.39316425727510074,6.101106596046752
0.2100000000000001,1030.3475724864675,1.9576603877242895E-5,0.6083427762806942,8.867102770252652,0.3926572237193057,6.102646193967621
0.2150000000000001,1035.8686260952095,1.9681503895808973E-5,0.6094037530329144,7.980974380189045,0.3915962469670851,6.105552772859486
0.2200000000000001,1030.43830130709,1.9578327724834695E-5,0.612918780693031,6.211389720591916,0.38808121930696804,6.107838101909222
0.22500000000000012,1032.679843539771,1.9620917027255644E-5,0.608454125427185,6.281343677693158,0.3925458745728141,6.102677530225107
0.23000000000000012,1031.4389410173812,1.9597339879330235E-5,0.6101403586675493,7.81163894269017,0.39085964133245144,6.104830045611541
