Distance(m),JT = 1,JT = 2,JT = 3
1570.1,740.0710033,919.0692859,1111.467217
1580.1,684.7190658,838.1323798,1084.751973
1590.1,717.550335,903.3861627,1124.343535
1600.1,678.2082802,918.7617362,988.7734193
1610.1,707.209016,802.1619874,1109.178962
1620.1,683.4847287,939.0932923,1094.213921
1630.1,731.6956398,1049.461176,1125.624425
1640.1,750.052226,1005.378342,1070.106415
1650.1,800.2084079,929.3489873,1126.89309
1660.1,727.2672324,959.133382,1154.542667
1670.1,864.5280121,1039.319452,1188.585201
1680.1,760.4595381,1076.453807,1104.352358
1690.1,807.6780752,1034.403958,1193.514747
1700.1,832.7851398,1075.153154,1254.494498
1710.1,829.239129,1028.00456,1241.454927
1720.1,794.1929235,1030.679177,1205.954072
1730.1,776.8753161,1086.004322,1148.878056
