Distance(m),T_avg (kBps)
0.1,9460.326963994741
10.1,4716.996172810127
20.1,3973.360039935468
30.1,3627.449743993379
40.1,3238.192685840958
50.1,3034.7773820566626
60.1,2870.557934522823
70.1,2670.7459442063155
80.1,2603.1783451721253
90.1,2434.6612411165647
100.1,2390.836549888283
110.1,2293.2949197990283
120.1,2190.9584833519675
130.1,2033.2932896282334
140.1,2034.33203481604
150.1,1915.4432794444479
160.1,1810.6424103673041
170.1,1828.5377200477838
180.1,1770.5636444632687
190.1,1737.7354742648447
200.1,1697.9927554371775
210.1,1675.2098929665467
220.1,1562.7632041436277
230.1,1518.7894229420442
240.1,1459.374297713023
250.1,1520.0467446678065
260.1,1401.6233679258507
270.1,1371.0875025214214
280.1,1243.8004967732818
290.1,1267.2128499162393
300.1,1289.320944004246
310.1,1252.6341028054462
320.1,1128.4810631569526
330.1,1235.2518910424083
340.1,1132.181094423217
350.1,1105.4164633383893
360.1,1082.8688715281608
370.1,1041.9099454069478
380.1,1031.8825922301235
390.1,1000.5562674757568
400.1,1035.0063950941835
410.1,990.5742356528979
420.1,978.1317307774591
430.1,953.9531264516147
440.1,949.9576275252264
450.1,906.9048486674537
460.1,858.2420233400105
470.1,932.2796368227843
480.1,865.4910918541455
490.1,869.2571982135884
500.1,864.1802184463146
510.1,837.1949119362489
520.1,802.4629496560067
530.1,788.7128166191793
540.1,818.5373329948084
550.1,798.4606765706392
560.1,744.6851272108022
570.1,799.0795363484419
580.1,739.8811934664272
590.1,735.0227874191147
600.1,730.5563106123589
610.1,739.65213432243
620.1,765.7571445313499
630.1,706.207394924664
640.1,687.2168935376527
650.1,701.3637248738507
660.1,722.3842818250765
670.1,692.2457815255012
680.1,657.3878938703209
690.1,654.7742563960745
700.1,680.1847237505847
710.1,662.9843966670238
720.1,637.4832568732534
730.1,637.1723925826127
740.1,614.9370174904985
750.1,606.6425426614718
760.1,630.3250377596603
770.1,638.4807360491461
780.1,599.2248525349108
790.1,595.3026028492015
800.1,572.798575516638
810.1,646.4617719099413
820.1,597.8996288475859
830.1,606.4859667023816
840.1,595.8052006766587
850.1,588.535398922741
860.1,652.8408364819586
870.1,592.1972569081739
880.1,572.8848329375903
890.1,559.003219272022
900.1,613.4357380754504
910.1,566.9619182549485
920.1,595.4741568408355
930.1,597.9838565943954
940.1,593.9112444831987
950.1,605.2040995718214
960.1,588.250811983344
970.1,559.9002623355381
980.1,608.4795664943065
990.1,605.6003175620215
1000.1,547.741617624756
1010.1,601.5644531921342
1020.1,577.2067207039663
1030.1,580.5781387186039
1040.1,616.7867082262717
1050.1,607.6789082695113
1060.1,542.4146329631151
1070.1,601.6040226267457
1080.1,620.205651826483
1090.1,585.267981125208
1100.1,606.0083047570154
1110.1,610.2059401756408
1120.1,589.3730249935393
1130.1,601.8409045870224
1140.1,653.134928640453
1150.1,626.1859997114454
1160.1,599.7248888387749
1170.1,662.223548930896
1180.1,641.1670227910259
1190.1,602.0449063434244
1200.1,643.7413577878903
1210.1,643.9396831189827
1220.1,670.4875495056693
1230.1,661.9236501345911
1240.1,632.4728323453497
1250.1,662.7693309706909
1260.1,658.883415354047
1270.1,681.4856606758754
1280.1,693.5210795017896
1290.1,664.7921010893275
1300.1,633.8039919844502
1310.1,703.3593160916546
1320.1,739.7232863347389
1330.1,734.4072173964817
1340.1,691.8928054962093
1350.1,772.1412653643046
1360.1,752.7420854783747
1370.1,743.1599636452299
1380.1,762.7095138366736
1390.1,734.6588548626637
1400.1,781.9728574399486
1410.1,800.7042290878416
1420.1,755.6802617280016
1430.1,700.113021097897
1440.1,789.2564599138033
1450.1,736.9734352649173
1460.1,802.1849327157058
1470.1,769.7686092847822
1480.1,798.5357111901266
1490.1,802.5915260126158
1500.1,872.9992789477016
1510.1,802.373947746329
1520.1,771.7941808320985
1530.1,856.2737182761148
1540.1,852.4132177575387
1550.1,865.9980338649879
1560.1,945.1892393185253
1570.1,919.0692858621802
1580.1,838.1323797806219
1590.1,903.3861627171622
1600.1,918.7617361652726
1610.1,802.1619874173045
1620.1,939.0932922587078
1630.1,1049.4611757599064
1640.1,1005.3783416304107
1650.1,929.3489873437995
1660.1,959.1333820449238
1670.1,1039.3194517629404
1680.1,1076.4538067826031
1690.1,1034.403958249839
1700.1,1075.1531543802055
1710.1,1028.0045595506472
1720.1,1030.6791773140828
1730.1,1086.0043223668197
