Distance(m),T_avg (kBps)
0.1,9556.813149
10.1,4840.564082
20.1,4169.759633
30.1,3742.247678
40.1,3359.252417
50.1,3142.282166
60.1,3108.018271
70.1,2932.772465
80.1,2704.664466
90.1,2623.008204
100.1,2514.971647
110.1,2373.126142
120.1,2335.20896
130.1,2260.372416
140.1,2156.898472
150.1,2064.919928
160.1,2010.0746
170.1,1939.217398
180.1,1881.614761
190.1,1880.29066
200.1,1809.05018
210.1,1793.382663
220.1,1633.890507
230.1,1699.617119
240.1,1660.582316
250.1,1617.577986
260.1,1550.248205
270.1,1479.982801
280.1,1473.20197
290.1,1430.786656
300.1,1450.122694
310.1,1470.416239
320.1,1374.133425
330.1,1323.243164
340.1,1321.248566
350.1,1314.681256
360.1,1287.909177
370.1,1237.432776
380.1,1253.155646
390.1,1236.711692
400.1,1226.641364
410.1,1207.768278
420.1,1151.862788
430.1,1119.353295
440.1,1130.830127
450.1,1067.704686
460.1,1046.655205
470.1,1062.206011
480.1,1084.691126
490.1,1019.618274
500.1,1008.878574
510.1,996.1652033
520.1,957.1107926
530.1,990.7019114
540.1,1007.242997
550.1,942.8524818
560.1,1015.86682
570.1,914.9834081
580.1,942.6963596
590.1,894.0723412
600.1,921.3725486
610.1,879.3039682
620.1,907.7138582
630.1,880.1131438
640.1,886.6957338
650.1,831.3892267
660.1,828.2443838
670.1,888.4582694
680.1,822.4106988
690.1,862.7220519
700.1,842.3481748
710.1,864.6876587
720.1,804.6813853
730.1,796.2967934
740.1,824.3820965
750.1,795.7125448
760.1,818.5892837
770.1,835.6402046
780.1,814.0611104
790.1,782.8769081
800.1,734.0831877
810.1,807.0010199
820.1,833.3448796
830.1,778.6728974
840.1,773.1328934
850.1,777.7629943
860.1,791.554448
870.1,742.9821817
880.1,758.7556342
890.1,752.1744496
900.1,781.7747244
910.1,781.9159965
920.1,752.6097787
930.1,742.4883483
940.1,771.890252
950.1,721.0187791
960.1,775.8932855
970.1,757.0964486
980.1,762.6199516
990.1,808.5292071
1000.1,760.6792176
1010.1,788.2486984
1020.1,770.6685072
1030.1,761.0096613
1040.1,777.6821484
1050.1,765.2821988
1060.1,773.1225142
1070.1,770.4662467
1080.1,732.3187676
1090.1,768.0717984
1100.1,760.5876704
1110.1,738.3503635
1120.1,810.6256489
1130.1,793.8675961
1140.1,774.206331
1150.1,771.952491
1160.1,790.2539694
1170.1,808.2361341
1180.1,820.3037221
1190.1,814.0160163
1200.1,807.6131978
1210.1,795.2534657
1220.1,823.8809013
1230.1,848.9003471
1240.1,794.8879792
1250.1,783.7532541
1260.1,864.4231497
1270.1,828.2792667
1280.1,833.6404833
1290.1,849.6209656
1300.1,890.7033834
1310.1,877.4211839
1320.1,891.6168598
1330.1,961.6625577
1340.1,893.6093872
1350.1,878.2589901
1360.1,923.6195903
1370.1,879.8547307
1380.1,879.6081865
1390.1,879.7302315
1400.1,902.8778171
1410.1,887.955571
1420.1,949.8600077
1430.1,975.4913371
1440.1,936.7896571
1450.1,892.7111881
1460.1,1039.942241
1470.1,973.260946
1480.1,946.7021165
1490.1,983.2598381
1500.1,1005.338328
1510.1,1021.501972
1520.1,1037.559638
1530.1,1013.829925
1540.1,962.068849
1550.1,1027.836554
1560.1,1014.040038
1570.1,1111.467217
1580.1,1084.751973
1590.1,1124.343535
1600.1,988.7734193
1610.1,1109.178962
1620.1,1094.213921
1630.1,1125.624425
1640.1,1070.106415
1650.1,1126.89309
1660.1,1154.542667
1670.1,1188.585201
1680.1,1104.352358
1690.1,1193.514747
1700.1,1254.494498
1710.1,1241.454927
1720.1,1205.954072
1730.1,1148.878056
