Chi(proportion),T_avg UE(kBps),Spectral Efficiency,Fairness Idx,Cell-Edge Throughput(kBps),Discrimination Idx,Entropy,Proportion UE dropped,Proportion of UE active,Eff chi mean BSs,Eff chi active UEs,T_Avg Active UE(kBps)
0.1,1410.793167900233,3.950220870120659E-6,0.7492837057820202,378.64125554246874,0.2507162942179797,3.585077478256184,0.0,1.0,0.008000000000000005,0.09999999999999859,1410.793167900233
0.10500000000000001,1421.6915099444618,3.980736227844497E-6,0.7491569135372896,378.5880107490697,0.2508430864627095,3.585361680201874,0.0,1.0,0.008399999999999967,0.1050000000000007,1421.6915099444618
0.11000000000000001,1434.395976111659,4.0163087331126505E-6,0.7404743527377732,373.0810928418225,0.2595256472622269,3.575339917259812,0.0,1.0,0.008800000000000011,0.10999999999999949,1434.395976111659
0.11500000000000002,1422.6209965839248,3.983338790434996E-6,0.7456242207779202,379.4809046322801,0.25437577922207943,3.581956771191556,0.0,1.0,0.009199999999999913,0.11499999999999809,1422.6209965839248
0.12000000000000002,1309.0785725659,5.498130004776785E-6,0.6998274073861863,418.9411207613925,0.30017259261381335,4.117800908454697,0.0,1.0,0.014400000000000161,0.12000000000000152,1309.0785725659
0.12500000000000003,1310.8512735207878,5.505575348787303E-6,0.7005858637667195,417.48300022134686,0.2994141362332808,4.1178074713242845,0.0,1.0,0.01500000000000019,0.12500000000000003,1310.8512735207878
0.13000000000000003,1303.0947063327058,5.4729977665973595E-6,0.7033555304632839,416.7549632383761,0.29664446953671675,4.1213817635447745,0.0,1.0,0.015599999999999623,0.12999999999999823,1303.0947063327058
0.13500000000000004,1307.6608014809735,5.4921753662200874E-6,0.703585653052305,420.7125998203268,0.2964143469476948,4.122369932103586,0.0,1.0,0.0161999999999999,0.13500000000000165,1307.6608014809735
0.14000000000000004,1310.1019695104317,5.502428271943813E-6,0.7036310698610218,419.565096146024,0.2963689301389792,4.121131398094181,0.0,1.0,0.016799999999999933,0.13999999999999932,1310.1019695104317
0.14500000000000005,1315.3869998747043,5.524625399473758E-6,0.6996552214949698,418.57154972121344,0.30034477850503016,4.117612139850889,0.0,1.0,0.01740000000000008,0.14500000000000007,1315.3869998747043
0.15000000000000005,1303.5011836119704,5.474704971170281E-6,0.706028472280599,420.11135210195084,0.2939715277194,4.12450450053996,0.0,1.0,0.018000000000000314,0.15000000000000283,1303.5011836119704
0.15500000000000005,1297.2039198410166,5.448256463332268E-6,0.7042060841585129,418.3459089594977,0.2957939158414863,4.122630732455204,0.0,1.0,0.018599999999999645,0.155000000000001,1297.2039198410166
0.16000000000000006,1233.478858261371,6.907481606263671E-6,0.668739383374512,360.67125173579257,0.3312606166254865,4.49735220123425,0.0,1.0,0.02560000000000047,0.1599999999999973,1233.478858261371
0.16500000000000006,1234.0095774285312,6.91045363359977E-6,0.670837434363913,361.7807323996433,0.329162565636087,4.497991224536627,0.0,1.0,0.02639999999999973,0.16500000000000042,1234.0095774285312
0.17000000000000007,1234.6368794433845,6.913966524882952E-6,0.6641612359966883,364.36986010523884,0.33583876400331264,4.4916865250254,0.0,1.0,0.027200000000000356,0.169999999999998,1234.6368794433845
0.17500000000000007,1232.3298218980483,6.901047002629072E-6,0.6725201184822676,366.8861351803766,0.3274798815177326,4.501678659642701,0.0,1.0,0.02799999999999952,0.1750000000000016,1232.3298218980483
0.18000000000000008,1237.8678765136829,6.932060108476618E-6,0.6675656648879883,363.0090588220096,0.3324343351120117,4.4949014062251,0.0,1.0,0.028800000000000322,0.1800000000000043,1237.8678765136829
0.18500000000000008,1228.3302619987776,6.878649467193154E-6,0.6708566107503686,362.49099059973264,0.32914338924963127,4.499199190569219,0.0,1.0,0.02959999999999943,0.1850000000000018,1228.3302619987776
0.19000000000000009,1222.5016607918083,6.846009300434133E-6,0.6721888727897136,362.1969651495659,0.3278111272102866,4.5014168466968885,0.0,1.0,0.03040000000000019,0.1899999999999982,1222.5016607918083
0.1950000000000001,1227.5052818211027,6.874029578198165E-6,0.669483085481937,363.18600821299805,0.33051691451806314,4.4977292142097784,0.0,1.0,0.031199999999999246,0.1949999999999955,1227.5052818211027
0.2000000000000001,1173.285001274468,8.212995008921273E-6,0.6480855253569976,324.91869405970834,0.351914474643002,4.791823849090851,0.0,1.0,0.03999999999999933,0.19999999999999718,1173.285001274468
0.2050000000000001,1178.7197818481955,8.251038472937361E-6,0.6460056777948656,323.8692987155865,0.3539943222051341,4.7895078381251786,0.0,1.0,0.040999999999999544,0.20500000000000407,1178.7197818481955
0.2100000000000001,1171.13531753755,8.197947222762853E-6,0.6428389757421227,323.5647531449928,0.357161024257878,4.78701663044736,0.0,1.0,0.042000000000000925,0.2100000000000014,1171.13531753755
0.2150000000000001,1173.8176668637511,8.21672366804625E-6,0.6468211524501478,324.5637276265042,0.35317884754985135,4.791460928051922,0.0,1.0,0.04299999999999943,0.21500000000000288,1173.8176668637511
0.2200000000000001,1179.40490384632,8.255834326924237E-6,0.6434666252654722,323.610698534774,0.3565333747345288,4.7868660261925315,0.0,1.0,0.04399999999999944,0.21999999999999897,1179.40490384632
0.22500000000000012,1175.7660818581485,8.230362573007056E-6,0.6469107255165206,325.2471387754944,0.3530892744834792,4.7898419149347,0.0,1.0,0.04500000000000108,0.22499999999999626,1175.7660818581485
0.23000000000000012,1173.362529062805,8.213537703439622E-6,0.6461288982237934,324.15542900480494,0.3538711017762075,4.790403815583023,0.0,1.0,0.045999999999999514,0.22999999999999618,1173.362529062805
