Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4
0.1,8374.121708777828,8373.873713907342,8372.805145459259,8369.476858992712,8327.890152604894,8323.573245006892,8274.89485066684,7976.180788009255,8557.162275327644,8522.763148102486,8172.647897363848,7075.316601712485,8710.308317829997,8316.44774643748,7114.193483818394,5548.218828110174,
50.1,2559.3781127861853,2562.8677694130315,2561.7201641919864,2558.84464037225,2549.4421003645525,2547.2119722216044,2536.7506834670266,2435.7279607834776,2777.630454682595,2770.170595425085,2655.460637326256,2312.221949289889,2937.3583099867583,2809.0264242554213,2405.887906812578,1854.266203203371,
100.1,1911.0882519202419,1914.873984199541,1915.9260602621976,1918.0958600168278,1905.5554411994458,1909.2390793127458,1896.9723217088138,1820.7928443847413,2135.1229398086393,2131.2706453319715,2039.587220800846,1766.1115654486778,2289.2134333262265,2188.785229444318,1868.1146033722296,1450.887074964467,
150.1,1544.2121754749476,1541.8468903931398,1544.023086469682,1543.436738123532,1534.521654597612,1535.1433050057365,1524.7770809196033,1461.0079187592187,1766.153583619424,1759.00054277821,1685.5414282953523,1460.551341312344,1915.572787990287,1829.7158048734636,1567.8343474710432,1222.7994888025503,
200.1,1280.82217976509,1281.4706589018494,1280.7523781106315,1280.34834140306,1275.4571645435972,1272.131388461844,1266.1495774162006,1215.6121204718343,1502.6519097151886,1500.1319273382612,1437.8631732433878,1247.2703947417604,1654.521786741669,1582.8411034657236,1354.6572465076276,1055.5380004066826,
250.1,1079.0548500995612,1079.509787339503,1083.4082045288549,1080.8075514358984,1077.6374775335382,1075.0372507776146,1068.6913757352218,1029.4773762084465,1297.3447923087035,1305.1930443800143,1249.6934297914706,1083.0103644482035,1457.036281657318,1393.3061990133854,1196.5978093779634,925.9994599876956,
300.1,919.5372573834273,927.2488444073076,925.0229514496434,923.5655289698394,920.880193769456,919.0740709532239,918.9814750518411,882.9857887923318,1152.23485292638,1147.7692311303745,1103.9375232335358,958.817197071388,1308.9080214169921,1249.8822708498758,1069.8878637543519,833.1277001003858,
350.1,795.8466326916548,795.0531570385355,797.128386883286,796.3386717435801,792.7428146516071,796.9984531439175,793.081089131864,765.9308556072436,1023.4558011502136,1023.8354969177815,982.6159947248658,855.8499747475418,1182.2948558354892,1130.5835162958456,971.4628986864149,751.1575209755433,
400.1,694.9349141272506,692.3121570052739,688.4417827998096,690.927450186007,695.5852116503148,694.7508318671456,693.8977427220143,673.6712771270404,928.2219401285199,921.0120573700184,883.9239025905194,773.0010845075868,1079.7613579260174,1036.8814854662219,886.2601788976893,691.4409558778392,
450.1,600.4382013687169,600.55127152299,601.4219365691129,600.0896408188165,616.3557993053664,612.2740517803302,613.1310887020519,595.6201017664655,845.524361857974,839.5762820943406,806.4956458713646,704.3053750939812,997.1889000472942,954.1056643684766,819.6090853840161,639.5641697757559,
500.1,524.3624311022102,524.1913891645635,523.0451501714183,525.4362196614428,549.2411589200586,547.225792804197,544.6955212477739,536.1216403426308,768.6955929981453,768.2339023765533,742.9360898626007,651.4957532167091,933.3884542564624,889.3335456973332,760.578325160626,592.8242236361258,
550.1,461.16091593962454,459.6029448022429,461.500871041359,459.00133952389814,493.51204492719245,493.18618593180935,492.47941640553074,483.5921029892417,712.4164395845007,712.9726112145165,688.758607928898,606.9692697215139,870.3393225119293,835.6953098955063,716.823558253359,559.267104969546,
600.1,405.02378026436645,405.4864290507246,404.9074793047426,406.9255289786279,449.2291866995363,448.76138450557727,448.792968465231,442.7168486535714,668.2300440507015,668.2739633260975,647.7878275613751,568.4615809787963,823.4459267405629,793.1594937395014,679.0158950875233,530.6732751430765,
